ID;jvitor.silva;v.tassinari;nf.figueiredo;lg.santos;g.brandao;m.bezerra
;;;;;;
AccCtrl;14/03/2019;21/06/2019;29/08/2019;16/01/2019;23/07/2019;21/08/2019
AcessoJWT;;15/03/2018;;;;
AcessoOauth;;15/03/2018;;;;
AccCtrlComite;;;08/05/2019;;;
accctrl-api;;;;;02/09/2019;
AcpEstrela;06/11/2015;;;;;
AcpVisitas;17/08/2018;09/11/2016;31/07/2018;;;
AcsContrl;04/09/2018;;;06/08/2015;;
AgendamentoInterface;21/08/2019;04/09/2018;;;;
AlterdataExporter;25/09/2017;;;;;
AnotationTalk;;;;26/02/2018;;
ArquivoNFE;09/10/2015;;31/07/2018;11/08/2017;;
ArquivosFinanc;;;27/07/2018;;;
AssinatProc;;;29/11/2018;;;
AtualizarBI;04/06/2018;17/07/2019;;05/07/2019;10/09/2019;
AtualizarPainel;02/08/2019;;20/08/2019;01/08/2019;01/09/2019;04/07/2019
AvalDesemInterface;;;;27/01/2016;;
AvalDesenWeb;04/02/2016;;;01/03/2016;;
BasicasBB;;04/01/2018;;10/09/2019;;
Bacen;02/06/2016;;;09/10/2017;;
BBLib;09/10/2015;;;02/08/2017;;
BigBCAD;;;;09/09/2019;;
BigBCartao;;;;09/09/2019;;
BigBGupo;;;;09/09/2019;;
BigBIntegracao;;;;10/09/2019;;
BigBLib;;;;13/07/2017;;
BigIntegracao;;04/01/2018;;;;09/09/2019
BigBrother;09/10/2015;;;03/07/2017;;
BigBrother2;;;;04/08/2017;;
BoaVistaWS;;;;02/03/2018;;
Boot;;;03/12/2018;;;
Bs;09/10/2015;;;28/07/0207;;
BSLiberacao;22/09/2015;;;27/10/2015;;
CallCenterMaven;;20/06/2018;;;;
CalcParcela;19/09/2016;;;;;
CalculoEvolutivo;06/11/2018;30/04/2018;;;;
Calendar;07/05/2018;;;;;
CapDoc;;;;09/06/2015;;
CapDocWeb;09/11/2016;17/06/2016;26/07/2018;23/06/2016;;
CardReg;;;;09/06/2015;;
CargasTots;06/11/2018;05/12/2018;03/08/2018;06/12/2018;;
CartaGerador;14/12/2016;03/01/2017;;07/06/2016;;
CartaReg;14/12/2016;27/12/2016;;16/05/2016;;
CartaReg2;;;;07/06/2016;;
CategoriasMesa;;;19/07/2018;;;
CCD;09/10/2015;;;28/07/2017;;
ClientDiv;09/10/2015;;;;;
ClienteLigacao;;;;30/09/2016;;
ClientEvoluction;05/01/2018;05/01/2018;03/08/2018;22/11/2018;;
ClientMap;21/06/2018;;;;;
